vehicle_speed,driver_age,alcohol_level,traffic_density,weather,road_light,vehicle_type,seatbelt,road_surface,road_alignment,hour,severity
67.45071229516849,29.91488381572756,0.07750200594713087,medium,clear,daylight,car,1,dry,straight,19,42.47808942315486
57.92603548243223,29.55903069939375,0.021744163127717247,medium,clear,daylight,car,1,dry,straight,7,47.221452443642725
69.71532807151038,16.0,0.014903236264820178,low,snow,daylight,car,1,dry,straight,8,67.22520581580147
82.84544784612038,31.038917699582754,0.0198041261420206,medium,rain,dark_lights_on,car,0,dry,straight,13,56.528118289076886
56.48769937914996,43.793948981860936,0.17487116474659373,medium,clear,daylight,car,1,dry,curve,11,34.55626928158316
56.487945645762295,19.70921457107846,0.010608897119113779,low,clear,daylight,car,1,dry,straight,12,39.097123122476425
83.68819223261087,47.58179181260711,0.08217400014126836,medium,clear,dark_lights_on,car,1,dry,straight,5,41.77268374082119
71.51152093729362,40.85329785301206,0.27983515582973467,medium,clear,daylight,motorcycle,0,dry,straight,13,60.180615002503934
52.95788421097572,26.189200136347544,0.06972666336673558,medium,clear,daylight,car,1,dry,straight,14,32.5804701968117
68.13840065378947,33.30164435194583,0.2881991774336703,low,clear,daylight,car,1,dry,straight,1,49.572919396341284
53.04873460781307,54.179861691692395,0.27366498709843684,medium,clear,daylight,truck,1,dry,straight,17,41.12895235652794
53.01405369644615,43.80257376207039,0.05642673403743166,low,rain,daylight,car,1,dry,curve,9,35.39280611149049
63.629434073490515,35.10540385877778,0.2609961022526442,medium,rain,daylight,motorcycle,1,dry,straight,20,50.052207182384706
31.300796330133032,32.14780019646819,0.2754880455978392,medium,clear,daylight,motorcycle,1,dry,curve,6,21.594923762380024
34.12623251230451,35.91930884541991,0.10131822892384167,medium,rain,daylight,car,1,dry,straight,21,26.560835130724207
51.56568706138541,28.858837304692358,0.047250946624248995,low,clear,dark_lights_on,car,1,wet,straight,4,39.74139423589492
44.80753319498364,16.0,0.14732404006049546,medium,clear,daylight,motorcycle,0,dry,straight,7,46.12155265042597
64.71370998892911,59.50613492641677,0.5086705785994821,high,fog,daylight,motorcycle,1,dry,straight,19,84.61115725145312
46.37963886718184,36.86389999039282,0.20411743634353954,low,clear,daylight,car,1,dry,curve,12,20.1335658340915
38.81544447997062,39.777767181470445,0.03797137465350413,high,clear,daylight,car,1,dry,straight,6,17.72966012904852
81.98473153382331,34.3051070014771,0.22961739999941636,medium,clear,daylight,car,1,dry,straight,17,39.360184336985405
56.61335549270196,26.178598391304945,0.11144478968174719,medium,clear,daylight,motorcycle,1,dry,straight,8,46.73367512193068
61.012923070318855,32.76890622861475,0.17906677250579692,low,rain,daylight,car,1,dry,curve,11,51.87650083221804
38.62877720679815,16.0,0.2648999464701795,low,snow,dark_lights_on,truck,1,dry,straight,23,43.72881829749323
51.834259132122256,62.325037976639656,0.14469956807154058,high,rain,daylight,bus,1,dry,straight,16,24.77292086210842
61.663838845647994,20.185856018931247,0.3363844901544646,low,rain,daylight,motorcycle,1,dry,curve,9,82.02171497180531
42.73509633866546,22.616404593833845,0.2561387919553592,low,rain,daylight,car,1,dry,straight,6,34.078082266092615
65.63547027518509,29.716889547363195,0.19094049127902554,medium,fog,daylight,car,1,dry,straight,20,50.83711917300416
50.99041965121793,50.45690869822853,0.03269041785291999,low,clear,dark_lights_on,car,1,dry,straight,4,24.802850591521207
55.62459375310085,35.17410799115185,0.36151571999422205,medium,fog,daylight,car,1,dry,straight,22,78.45180345720959
50.97440081655905,20.16637044763445,0.5494796106652902,medium,clear,daylight,car,0,dry,curve,14,100.0
87.78417276763406,50.05206032908808,0.0294600351959636,high,fog,daylight,car,1,dry,straight,15,61.988757623951315
59.79754162893099,43.77200752142578,0.13398034416037427,medium,clear,daylight,car,0,dry,curve,15,42.88536879091327
44.13433606566149,41.46121948659743,0.059920903833601616,low,rain,dark_lights_on,car,1,wet,curve,9,36.11280923563574
72.33817368154783,43.588810894050084,0.28091065497030404,low,rain,dark_lights_on,motorcycle,1,dry,straight,13,51.65311902281674
41.68734525043467,63.73234280698941,0.2557605614709015,medium,snow,daylight,car,1,dry,straight,19,29.645987097864744
63.132953925071334,61.22113874043335,0.030370525940085148,medium,rain,daylight,car,1,dry,curve,16,33.50443911108422
30.604948141803366,26.759415883960457,0.41915853315339613,high,clear,daylight,car,1,dry,straight,5,54.203384866758974
40.07720926652354,54.486619913733826,0.03992766135082961,medium,clear,daylight,bus,1,wet,curve,0,19.586206321336018
62.952918538036855,39.5980182771068,0.3191652206242102,low,clear,daylight,motorcycle,1,wet,straight,10,89.2182188277531
71.07699869993115,40.98914979365299,0.12212195791763059,high,clear,daylight,car,1,dry,curve,0,41.12512245547307
